Results from FLAKE simulations.
 No     time         Ts            Tm            Tb            ufr_a         ufr_w         Wconv         Qw            Q_se          Q_la          I_w           Q_lwa         Q_lww         h_ML          C_T           H_B1          T_B1          Qbot          H_ice         H_snow        T_ice         T_snow   
        0   0.00000       4.97700       4.97700       4.90500      0.623696E-01  0.220372E-02  0.403479E-02  -133.200      -23.3164      -23.7987       30.6442       0.00000      -335.885       16.0500      0.500000       5.00000       4.00000      0.197652       0.00000       0.00000       0.00000       0.00000    
        1   1.00000       4.84530       4.84530       4.84530      0.904255E-01  0.319583E-02  0.369712E-02  -116.983      -23.1687      -27.6395       25.9120       0.00000      -335.249       16.0500      0.500000       5.00000       4.00000      0.184613       0.00000       0.00000       0.00000       0.00000    
        2   2.00000       4.72834       4.72834       4.72834      0.223458      0.789928E-02  0.394317E-02  -152.748      -45.3813      -52.3452       23.3330       0.00000      -334.686       16.0500      0.500000      0.367129       4.75220     -0.709786E-01   0.00000       0.00000       0.00000       0.00000    
        3   3.00000       4.56255       4.56255       4.56255      0.907092E-01  0.320760E-02  0.342147E-02  -138.724      -27.0744      -29.5889       31.6540       0.00000      -333.888       16.0500      0.500000      0.884561E-01   4.82007      -3.17903       0.00000       0.00000       0.00000       0.00000    
        4   4.00000       4.42940       4.42940       4.42940      0.187370      0.662732E-02  0.317387E-02  -142.398      -30.3172      -39.1369       31.4385       0.00000      -333.248       16.0500      0.500000      0.377635       4.74764     -0.920265       0.00000       0.00000       0.00000       0.00000    
        5   5.00000       4.28836       4.28836       4.28836      0.202762      0.717370E-02  0.308740E-02  -182.293      -42.6573      -60.6549       32.1708       0.00000      -332.571       16.0500      0.500000      0.384679       4.74593      -1.29893       0.00000       0.00000       0.00000       0.00000    
        6   6.00000       4.09761       4.09761       4.09761      0.746677E-01  0.264270E-02  0.173439E-02  -94.4601      -15.8036      -20.7229       26.0953       0.00000      -331.657       16.0500      0.500000      0.395214       4.74338      -1.78430       0.00000       0.00000       0.00000       0.00000    
        7   7.00000       4.01227       4.01227       4.01227      0.867659E-01  0.307139E-02  0.128505E-02  -130.197      -32.5771      -27.5356       27.4031       0.00000      -331.249       16.0500      0.500000      0.486461       4.72128      -1.59157       0.00000       0.00000       0.00000       0.00000    
        8   8.00000       3.88256       3.88256       3.88256      0.952895E-01  0.337395E-02   0.00000      -148.361      -41.9607      -33.8349       27.6734       0.00000      -330.629       16.0500      0.500000      0.523738       4.71235      -1.73012       0.00000       0.00000       0.00000       0.00000    
        9   9.00000       3.72832       3.73009       3.88256      0.175696      0.622277E-02   0.00000      -124.985      -46.3609      -47.4089       14.4305       0.00000      -329.894       15.6806      0.500000      0.622617       4.68875      -1.41395       0.00000       0.00000       0.00000       0.00000    
       10   10.0000       3.58537       3.59021       3.88256      0.194870      0.690375E-02   0.00000      -83.6254      -21.4989      -29.5354       22.0648       0.00000      -329.213       15.5281      0.500000      0.701940       4.67002      -1.22505       0.00000       0.00000       0.00000       0.00000    
       11   11.0000       3.50263       3.51287       3.88256      0.458398      0.162424E-01   0.00000      -47.5023      -6.38301      -26.2829       3.49690       0.00000      -328.819       15.1844      0.500000      0.769700       4.65418      -1.09472       0.00000       0.00000       0.00000       0.00000    
       12   12.0000       3.45787       3.45787       3.45787      0.105118      0.372496E-02   0.00000      -38.7456      0.789931      -6.90283       25.5194       0.00000      -328.607       16.0500      0.500000      0.539947       4.70747      -2.52722       0.00000       0.00000       0.00000       0.00000    
       13   13.0000       3.44413       3.44416       3.45787      0.117632      0.416854E-02   0.00000      -46.4021      -3.44554      -10.7778       26.1851       0.00000      -328.541       15.9759      0.500000      0.643472       4.68284      -2.07882       0.00000       0.00000       0.00000       0.00000    
       14   14.0000       3.41832       3.42091       3.45787      0.322004      0.114114E-01  0.329866E-02   108.766       54.0463       40.5671       11.8043       0.00000      -328.419       13.9444      0.500000      0.727458       4.66309      -1.80918       0.00000       0.00000       0.00000       0.00000    
       15   15.0000       3.57777       3.57777       3.57777      0.245516      0.869812E-02  0.206600E-02   9.38238       28.8413       6.91743       29.8345       0.00000      -329.177       16.0500      0.500000      0.856267       4.63311      -1.34588       0.00000       0.00000       0.00000       0.00000    
